run,backend,requested,width,height,fps,bitrate_bps,frames,enc_us_p50,enc_us_p99,enc_us_max,cpu_pct,wall_ms,bytes_out,keyframes,ltr,intra_refresh,gpu_pct,vmaf,kbps
1,nvenc,nvenc,1920,1080,60,20000000,240,2729,4053,4556,12.1,4000.0,9395890,1,1,1,15.9,100.00,18792
1,mf,mf,1920,1080,60,20000000,240,533,1508,1857,11.3,4000.3,10142287,4,1,1,11.4,100.00,20283
2,nvenc,nvenc,1920,1080,60,20000000,240,2584,4252,4692,13.7,4000.3,9395890,1,1,1,14.7,100.00,18790
2,mf,mf,1920,1080,60,20000000,240,549,1245,1404,11.3,4000.1,10142287,4,1,1,10.8,100.00,20284
3,nvenc,nvenc,1920,1080,60,20000000,240,2766,4019,4390,7.8,4000.5,9395890,1,1,1,16.0,100.00,18789
3,mf,mf,1920,1080,60,20000000,240,498,1110,1359,12.1,4000.1,10142287,4,1,1,11.4,100.00,20284
1,nvenc,nvenc,1920,1080,60,2000000,240,2604,5452,6009,12.9,4000.5,994536,1,1,1,15.3,98.82,1989
1,mf,mf,1920,1080,60,2000000,240,383,1123,1561,12.1,4000.1,1008776,4,1,1,10.7,100.00,2018
2,nvenc,nvenc,1920,1080,60,2000000,240,2850,4253,4860,12.5,4000.5,994536,1,1,1,16.8,98.82,1989
2,mf,mf,1920,1080,60,2000000,240,387,1250,1896,10.2,4000.2,1008776,4,1,1,12.5,100.00,2017
3,nvenc,nvenc,1920,1080,60,2000000,240,2737,4468,4856,12.9,4000.3,994536,1,1,1,16.1,98.82,1989
3,mf,mf,1920,1080,60,2000000,240,328,1078,1243,14.1,4000.1,1008776,4,1,1,10.7,100.00,2018
