scheme,fec,armed_from_feedback,groups,model,loss_pct,burst_pkts,seed,frames_sent,frames_intact,frames_damaged,frames_rescued,rescue_pct,parity_rows,parity_sent,overhead_pct,armed_pct,nack_requests,nack_asked,nack_served,nack_delivered,frames_delivered,delivered_pct,idr_requests,idr_per_min,pkt_drop_pct,longest_stall_ms,nack,rtt_ms,overtaken_limit
xor,1,0,0,uniform,5.00,1.0,25214903917,400,261,139,99,71.22,1,488,12.5,100.0,0,0,0,0,343,85.75,21,189.00,4.83,66,0,40,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
xor,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
xor,1,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,16,100.00,1,1804,12.5,100.0,0,0,0,0,1799,99.94,0,0.00,0.10,16,0,40,0
xor,1,1,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,6,37.50,1,604,4.1,30.0,0,0,0,0,1789,99.39,10,20.00,0.10,50,0,40,0
xor,1,1,0,gilbert-elliott,5.00,4.0,25214903917,1800,1525,275,75,27.27,1,2180,12.5,100.0,0,0,0,0,1599,88.83,94,188.00,5.28,133,0,40,0
xor,0,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,0,0.00,1,0,0.0,0.0,16,16,16,16,1783,99.06,16,32.00,0.11,50,1,40,0
xor,0,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,15,93.75,1,0,0.0,0.0,32,32,32,32,1799,99.94,1,2.00,0.11,50,1,4,0
xor,0,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,0,0.00,1,0,0.0,0.0,0,0,0,0,1784,99.11,16,32.00,0.11,50,0,4,0
xor,1,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,16,100.00,1,1804,12.5,100.0,0,0,0,0,1799,99.94,0,0.00,0.10,16,0,40,0
xor,1,0,0,gilbert-elliott,0.10,1.0,25214903917,1800,1784,16,16,100.00,1,1804,12.5,100.0,0,0,0,0,1799,99.94,0,0.00,0.10,16,1,40,0
xor,1,0,0,uniform,1.00,1.0,25214903917,400,365,35,34,97.14,1,408,12.5,100.0,0,0,0,0,398,99.50,1,9.00,1.12,50,0,40,0
xor,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,432,12.5,100.0,0,0,0,0,385,96.25,7,63.00,1.90,66,0,40,0
xor,1,0,0,uniform,5.00,1.0,25214903917,400,261,139,99,71.22,1,488,12.5,100.0,0,0,0,0,343,85.75,21,189.00,4.83,66,0,40,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
xor,1,0,8,uniform,1.00,1.0,25214903917,400,362,38,37,97.37,1,3200,98.0,100.0,0,0,0,0,398,99.50,1,9.00,1.13,50,0,40,0
xor,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
xor,1,0,8,uniform,5.00,1.0,25214903917,400,266,134,121,90.30,1,3200,94.3,100.0,0,0,0,0,380,95.00,5,45.00,4.95,50,0,40,0
xor,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
rs,1,0,0,uniform,1.00,1.0,25214903917,400,365,35,34,97.14,1,408,12.5,100.0,0,0,0,0,398,99.50,1,9.00,1.12,50,0,40,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,432,12.5,100.0,0,0,0,0,385,96.25,7,63.00,1.90,66,0,40,0
rs,1,0,0,uniform,5.00,1.0,25214903917,400,261,139,99,71.22,1,488,12.5,100.0,0,0,0,0,343,85.75,21,189.00,4.83,66,0,40,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
rs,1,0,8,uniform,1.00,1.0,25214903917,400,362,38,37,97.37,1,3200,98.0,100.0,0,0,0,0,398,99.50,1,9.00,1.13,50,0,40,0
rs,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
rs,1,0,8,uniform,5.00,1.0,25214903917,400,266,134,121,90.30,1,3200,94.3,100.0,0,0,0,0,380,95.00,5,45.00,4.95,50,0,40,0
rs,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
xor,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,397,3,0,0.00,1,412,12.5,100.0,0,0,0,0,396,99.00,2,18.00,0.24,66,0,40,0
xor,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,1,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
xor,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,432,12.5,100.0,0,0,0,0,385,96.25,7,63.00,1.90,66,0,40,0
xor,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
xor,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
xor,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,1,404,12.5,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
xor,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,1,404,12.5,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
xor,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,397,3,0,0.00,1,412,12.5,100.0,0,0,0,0,397,99.25,2,18.00,0.24,66,0,4,0
xor,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,397,3,0,0.00,1,412,12.5,100.0,0,0,0,0,396,99.00,2,18.00,0.24,66,0,40,0
xor,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,35,100.00,1,404,12.5,100.0,0,0,0,0,400,100.00,0,0.00,1.10,16,0,4,0
xor,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,34,97.14,1,404,12.5,100.0,0,0,0,0,399,99.75,0,0.00,1.10,16,0,40,0
xor,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,436,12.5,100.0,0,0,0,0,386,96.50,8,72.00,1.89,66,0,4,0
xor,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,432,12.5,100.0,0,0,0,0,385,96.25,7,63.00,1.90,66,0,40,0
xor,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,252,148,116,78.38,1,484,12.5,100.0,0,0,0,0,356,89.00,20,180.00,4.82,50,0,4,0
xor,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,255,145,109,75.17,1,468,12.5,100.0,0,0,0,0,348,87.00,17,153.00,4.89,66,0,40,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,339,61,18,29.51,1,484,12.5,100.0,0,0,0,0,357,89.25,20,180.00,5.19,83,0,4,0
xor,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
xor,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,397,3,3,100.00,1,1600,49.5,100.0,0,0,0,0,400,100.00,0,0.00,0.12,16,0,4,0
xor,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,397,3,3,100.00,1,1600,49.5,100.0,0,0,0,0,399,99.75,0,0.00,0.12,16,0,40,0
xor,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,1,1600,49.0,100.0,0,0,0,0,399,99.75,1,9.00,0.19,50,0,4,0
xor,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,1,1600,49.0,100.0,0,0,0,0,398,99.50,1,9.00,0.19,50,0,40,0
xor,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,372,28,28,100.00,1,1600,49.5,100.0,0,0,0,0,400,100.00,0,0.00,1.01,16,0,4,0
xor,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,372,28,28,100.00,1,1600,49.5,100.0,0,0,0,0,399,99.75,0,0.00,1.01,16,0,40,0
xor,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,10,47.62,1,1600,46.3,100.0,0,0,0,0,389,97.25,7,63.00,2.14,66,0,4,0
xor,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,10,47.62,1,1600,46.3,100.0,0,0,0,0,388,97.00,7,63.00,2.14,66,0,40,0
xor,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,265,135,117,86.67,1,1600,45.5,100.0,0,0,0,0,372,93.00,9,81.00,4.86,50,0,4,0
xor,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,253,147,134,91.16,1,1600,47.2,100.0,0,0,0,0,379,94.75,6,54.00,4.89,50,0,40,0
xor,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,340,60,38,63.33,1,1600,43.9,100.0,0,0,0,0,378,94.50,13,117.00,5.18,83,0,4,0
xor,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,338,62,39,62.90,1,1600,43.9,100.0,0,0,0,0,376,94.00,13,117.00,5.18,83,0,40,0
xor,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,1,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.09,16,0,4,0
xor,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,1,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.09,16,0,40,0
xor,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,1,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
xor,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,1,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
xor,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,363,37,36,97.30,1,3200,98.0,100.0,0,0,0,0,399,99.75,1,9.00,1.11,50,0,4,0
xor,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,362,38,37,97.37,1,3200,98.0,100.0,0,0,0,0,398,99.50,1,9.00,1.11,50,0,40,0
xor,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,396,99.00,4,36.00,1.92,50,0,4,0
xor,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
xor,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,260,140,128,91.43,1,3200,92.6,100.0,0,0,0,0,383,95.75,7,63.00,4.97,50,0,4,0
xor,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,260,140,127,90.71,1,3200,94.3,100.0,0,0,0,0,380,95.00,5,45.00,4.99,50,0,40,0
xor,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,49,80.33,1,3200,90.9,100.0,0,0,0,0,388,97.00,9,81.00,5.37,66,0,4,0
xor,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,1,404,12.5,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,1,404,12.5,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,397,3,0,0.00,1,412,12.5,100.0,0,0,0,0,397,99.25,2,18.00,0.24,66,0,4,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,397,3,0,0.00,1,412,12.5,100.0,0,0,0,0,396,99.00,2,18.00,0.24,66,0,40,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,35,100.00,1,404,12.5,100.0,0,0,0,0,400,100.00,0,0.00,1.10,16,0,4,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,34,97.14,1,404,12.5,100.0,0,0,0,0,399,99.75,0,0.00,1.10,16,0,40,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,436,12.5,100.0,0,0,0,0,386,96.50,8,72.00,1.89,66,0,4,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,6,30.00,1,432,12.5,100.0,0,0,0,0,385,96.25,7,63.00,1.90,66,0,40,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,252,148,116,78.38,1,484,12.5,100.0,0,0,0,0,356,89.00,20,180.00,4.82,50,0,4,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,255,145,109,75.17,1,468,12.5,100.0,0,0,0,0,348,87.00,17,153.00,4.89,66,0,40,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,339,61,18,29.51,1,484,12.5,100.0,0,0,0,0,357,89.25,20,180.00,5.19,83,0,4,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,21,33.87,1,480,12.5,100.0,0,0,0,0,358,89.50,19,171.00,5.23,66,0,40,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,397,3,3,100.00,1,1600,49.5,100.0,0,0,0,0,400,100.00,0,0.00,0.12,16,0,4,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,397,3,3,100.00,1,1600,49.5,100.0,0,0,0,0,399,99.75,0,0.00,0.12,16,0,40,0
rs,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,1,1600,49.0,100.0,0,0,0,0,399,99.75,1,9.00,0.19,50,0,4,0
rs,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,1,1600,49.0,100.0,0,0,0,0,398,99.50,1,9.00,0.19,50,0,40,0
rs,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,372,28,28,100.00,1,1600,49.5,100.0,0,0,0,0,400,100.00,0,0.00,1.01,16,0,4,0
rs,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,372,28,28,100.00,1,1600,49.5,100.0,0,0,0,0,399,99.75,0,0.00,1.01,16,0,40,0
rs,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,10,47.62,1,1600,46.3,100.0,0,0,0,0,389,97.25,7,63.00,2.14,66,0,4,0
rs,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,10,47.62,1,1600,46.3,100.0,0,0,0,0,388,97.00,7,63.00,2.14,66,0,40,0
rs,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,265,135,117,86.67,1,1600,45.5,100.0,0,0,0,0,372,93.00,9,81.00,4.86,50,0,4,0
rs,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,253,147,134,91.16,1,1600,47.2,100.0,0,0,0,0,379,94.75,6,54.00,4.89,50,0,40,0
rs,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,340,60,38,63.33,1,1600,43.9,100.0,0,0,0,0,378,94.50,13,117.00,5.18,83,0,4,0
rs,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,338,62,39,62.90,1,1600,43.9,100.0,0,0,0,0,376,94.00,13,117.00,5.18,83,0,40,0
rs,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,1,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.09,16,0,4,0
rs,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,1,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.09,16,0,40,0
rs,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,1,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
rs,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,1,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
rs,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,363,37,36,97.30,1,3200,98.0,100.0,0,0,0,0,399,99.75,1,9.00,1.11,50,0,4,0
rs,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,362,38,37,97.37,1,3200,98.0,100.0,0,0,0,0,398,99.50,1,9.00,1.11,50,0,40,0
rs,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,396,99.00,4,36.00,1.92,50,0,4,0
rs,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,1,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
rs,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,260,140,128,91.43,1,3200,92.6,100.0,0,0,0,0,383,95.75,7,63.00,4.97,50,0,4,0
rs,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,260,140,127,90.71,1,3200,94.3,100.0,0,0,0,0,380,95.00,5,45.00,4.99,50,0,40,0
rs,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,49,80.33,1,3200,90.9,100.0,0,0,0,0,388,97.00,9,81.00,5.37,66,0,4,0
rs,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,339,61,48,78.69,1,3200,90.9,100.0,0,0,0,0,387,96.75,9,81.00,5.37,66,0,40,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,2,808,25.0,100.0,0,0,0,0,400,100.00,0,0.00,0.15,16,0,4,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,395,5,5,100.00,2,808,25.0,100.0,0,0,0,0,399,99.75,0,0.00,0.15,16,0,40,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,2,816,25.0,100.0,0,0,0,0,399,99.75,1,9.00,0.22,50,0,4,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,2,816,25.0,100.0,0,0,0,0,398,99.50,1,9.00,0.22,50,0,40,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,364,36,36,100.00,2,808,25.0,100.0,0,0,0,0,400,100.00,0,0.00,1.09,16,0,4,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,364,36,36,100.00,2,808,25.0,100.0,0,0,0,0,399,99.75,0,0.00,1.09,16,0,40,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,7,35.00,2,856,25.0,100.0,0,0,0,0,387,96.75,6,54.00,2.01,66,0,4,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,380,20,7,35.00,2,856,25.0,100.0,0,0,0,0,386,96.50,6,54.00,2.01,66,0,40,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,265,135,133,98.52,2,824,25.0,100.0,0,0,0,0,398,99.50,2,18.00,4.78,50,0,4,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,264,136,134,98.53,2,824,25.0,100.0,0,0,0,0,397,99.25,2,18.00,4.78,50,0,40,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,26,41.94,2,944,25.0,100.0,0,0,0,0,364,91.00,18,162.00,5.44,83,0,4,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,338,62,26,41.94,2,936,25.0,100.0,0,0,0,0,362,90.50,16,144.00,5.47,66,0,40,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,2,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.09,16,0,4,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,398,2,2,100.00,2,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.09,16,0,40,0
rs,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,2,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
rs,1,0,4,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,2,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
rs,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,363,37,37,100.00,2,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,1.12,16,0,4,0
rs,1,0,4,gilbert-elliott,1.00,1.0,25214903917,400,363,37,37,100.00,2,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,1.12,16,0,40,0
rs,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,2,3200,95.2,100.0,0,0,0,0,396,99.00,4,36.00,1.92,50,0,4,0
rs,1,0,4,gilbert-elliott,1.00,4.0,25214903917,400,379,21,17,80.95,2,3200,95.2,100.0,0,0,0,0,395,98.75,4,36.00,1.92,50,0,40,0
rs,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,263,137,137,100.00,2,3200,99.0,100.0,0,0,0,0,400,100.00,0,0.00,4.96,16,0,4,0
rs,1,0,4,gilbert-elliott,5.00,1.0,25214903917,400,263,137,137,100.00,2,3200,99.0,100.0,0,0,0,0,399,99.75,0,0.00,4.96,16,0,40,0
rs,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,341,59,47,79.66,2,3200,91.7,100.0,0,0,0,0,388,97.00,8,72.00,5.31,66,0,4,0
rs,1,0,4,gilbert-elliott,5.00,4.0,25214903917,400,339,61,49,80.33,2,3200,91.7,100.0,0,0,0,0,387,96.75,8,72.00,5.31,66,0,40,0
rs,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,396,4,4,100.00,2,6400,198.0,100.0,0,0,0,0,400,100.00,0,0.00,0.09,16,0,4,0
rs,1,0,8,gilbert-elliott,0.10,1.0,25214903917,400,396,4,4,100.00,2,6400,198.0,100.0,0,0,0,0,399,99.75,0,0.00,0.09,16,0,40,0
rs,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,2,6400,198.0,100.0,0,0,0,0,400,100.00,0,0.00,0.15,16,0,4,0
rs,1,0,8,gilbert-elliott,0.10,4.0,25214903917,400,399,1,1,100.00,2,6400,198.0,100.0,0,0,0,0,399,99.75,0,0.00,0.15,16,0,40,0
rs,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,371,29,29,100.00,2,6400,198.0,100.0,0,0,0,0,400,100.00,0,0.00,1.03,16,0,4,0
rs,1,0,8,gilbert-elliott,1.00,1.0,25214903917,400,371,29,29,100.00,2,6400,198.0,100.0,0,0,0,0,399,99.75,0,0.00,1.03,16,0,40,0
rs,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,387,13,13,100.00,2,6400,198.0,100.0,0,0,0,0,400,100.00,0,0.00,1.51,16,0,4,0
rs,1,0,8,gilbert-elliott,1.00,4.0,25214903917,400,387,13,13,100.00,2,6400,198.0,100.0,0,0,0,0,399,99.75,0,0.00,1.51,16,0,40,0
rs,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,264,136,136,100.00,2,6400,198.0,100.0,0,0,0,0,400,100.00,0,0.00,5.08,16,0,4,0
rs,1,0,8,gilbert-elliott,5.00,1.0,25214903917,400,264,136,135,99.26,2,6400,198.0,100.0,0,0,0,0,399,99.75,0,0.00,5.08,16,0,40,0
rs,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,355,45,39,86.67,2,6400,188.7,100.0,0,0,0,0,394,98.50,5,45.00,5.27,50,0,4,0
rs,1,0,8,gilbert-elliott,5.00,4.0,25214903917,400,354,46,40,86.96,2,6400,188.7,100.0,0,0,0,0,393,98.25,5,45.00,5.27,50,0,40,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,396,4,4,100.00,3,1212,37.5,100.0,0,0,0,0,400,100.00,0,0.00,0.14,16,0,4,0
rs,1,0,0,gilbert-elliott,0.10,1.0,25214903917,400,396,4,4,100.00,3,1212,37.5,100.0,0,0,0,0,399,99.75,0,0.00,0.14,16,0,40,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,3,1224,37.5,100.0,0,0,0,0,399,99.75,1,9.00,0.20,50,0,4,0
rs,1,0,0,gilbert-elliott,0.10,4.0,25214903917,400,398,2,1,50.00,3,1224,37.5,100.0,0,0,0,0,398,99.50,1,9.00,0.20,50,0,40,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,35,100.00,3,1212,37.5,100.0,0,0,0,0,400,100.00,0,0.00,1.04,16,0,4,0
rs,1,0,0,gilbert-elliott,1.00,1.0,25214903917,400,365,35,34,97.14,3,1212,37.5,100.0,0,0,0,0,399,99.75,0,0.00,1.04,16,0,40,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,378,22,9,40.91,3,1284,37.5,100.0,0,0,0,0,387,96.75,7,63.00,2.17,66,0,4,0
rs,1,0,0,gilbert-elliott,1.00,4.0,25214903917,400,379,21,9,42.86,3,1284,37.5,100.0,0,0,0,0,387,96.75,7,63.00,2.17,66,0,40,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,262,138,138,100.00,3,1212,37.5,100.0,0,0,0,0,400,100.00,0,0.00,4.79,16,0,4,0
rs,1,0,0,gilbert-elliott,5.00,1.0,25214903917,400,262,138,137,99.28,3,1212,37.5,100.0,0,0,0,0,399,99.75,0,0.00,4.79,16,0,40,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,337,63,36,57.14,3,1392,37.5,100.0,0,0,0,0,373,93.25,15,135.00,5.29,83,0,4,0
rs,1,0,0,gilbert-elliott,5.00,4.0,25214903917,400,337,63,35,55.56,3,1356,37.5,100.0,0,0,0,0,372,93.00,13,117.00,5.39,83,0,40,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,399,1,1,100.00,3,4800,148.5,100.0,0,0,0,0,400,100.00,0,0.00,0.07,16,0,4,0
rs,1,0,4,gilbert-elliott,0.10,1.0,25214903917,400,399,1,1,100.00,3,4800,148.5,100.0,0,0,0,0,399,99.75,0,0.00,0.07,16,0,40,0
