repair,rtt_ms,hold_frames,loss_pct,burst_pkts,frames_damaged,frames_rescued,rescue_pct,parity_sent,overhead_pct,nack_requests,nack_served,delivered_pct,idr_per_min,longest_stall_ms
fec-only,4,0,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,4,0,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,4,8,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,4,8,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,4,30,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,4,30,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,20,0,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,20,0,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,20,8,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,20,8,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,20,30,1.00,4.0,20,6,30.00,436,12.5,0,0,96.50,72.00,66
fec-only,20,30,5.00,4.0,61,18,29.51,484,12.5,0,0,89.25,180.00,83
fec-only,40,0,1.00,4.0,20,6,30.00,432,12.5,0,0,96.25,63.00,66
fec-only,40,0,5.00,4.0,62,21,33.87,480,12.5,0,0,89.50,171.00,66
fec-only,40,8,1.00,4.0,20,6,30.00,432,12.5,0,0,96.25,63.00,66
fec-only,40,8,5.00,4.0,62,21,33.87,480,12.5,0,0,89.50,171.00,66
fec-only,40,30,1.00,4.0,20,6,30.00,432,12.5,0,0,96.25,63.00,66
fec-only,40,30,5.00,4.0,62,21,33.87,480,12.5,0,0,89.50,171.00,66
fec-only,80,0,1.00,4.0,20,6,30.00,432,12.5,0,0,96.00,63.00,66
fec-only,80,0,5.00,4.0,64,20,31.25,472,12.5,0,0,88.75,153.00,150
fec-only,80,8,1.00,4.0,20,6,30.00,432,12.5,0,0,96.00,63.00,66
fec-only,80,8,5.00,4.0,64,20,31.25,472,12.5,0,0,88.75,153.00,150
fec-only,80,30,1.00,4.0,20,6,30.00,432,12.5,0,0,96.00,63.00,66
fec-only,80,30,5.00,4.0,64,20,31.25,472,12.5,0,0,88.75,153.00,150
nack-only,4,0,1.00,4.0,16,11,68.75,0,0.0,25,73,98.75,27.00,66
nack-only,4,0,5.00,4.0,52,30,57.69,0,0.0,88,271,94.50,126.00,66
nack-only,4,8,1.00,4.0,16,11,68.75,0,0.0,25,73,98.75,27.00,66
nack-only,4,8,5.00,4.0,52,30,57.69,0,0.0,88,271,94.50,126.00,66
nack-only,4,30,1.00,4.0,16,11,68.75,0,0.0,25,73,98.75,27.00,66
nack-only,4,30,5.00,4.0,52,30,57.69,0,0.0,88,271,94.50,126.00,66
nack-only,20,0,1.00,4.0,19,11,57.89,0,0.0,17,41,98.00,45.00,66
nack-only,20,0,5.00,4.0,49,33,67.35,0,0.0,45,144,96.00,63.00,66
nack-only,20,8,1.00,4.0,19,13,68.42,0,0.0,17,41,98.50,36.00,66
nack-only,20,8,5.00,4.0,53,38,71.70,0,0.0,49,137,96.25,63.00,100
nack-only,20,30,1.00,4.0,19,13,68.42,0,0.0,17,41,98.50,36.00,66
nack-only,20,30,5.00,4.0,53,38,71.70,0,0.0,49,137,96.25,63.00,100
nack-only,40,0,1.00,4.0,19,1,5.26,0,0.0,12,27,95.50,72.00,83
nack-only,40,0,5.00,4.0,57,11,19.30,0,0.0,48,147,88.25,171.00,150
nack-only,40,8,1.00,4.0,19,13,68.42,0,0.0,17,41,98.25,36.00,83
nack-only,40,8,5.00,4.0,55,30,54.55,0,0.0,54,120,93.75,72.00,133
nack-only,40,30,1.00,4.0,19,13,68.42,0,0.0,17,41,98.25,36.00,83
nack-only,40,30,5.00,4.0,55,30,54.55,0,0.0,54,120,93.75,72.00,133
nack-only,80,0,1.00,4.0,19,0,0.00,0,0.0,11,26,95.25,72.00,83
nack-only,80,0,5.00,4.0,65,5,7.69,0,0.0,47,60,84.50,180.00,183
nack-only,80,8,1.00,4.0,16,10,62.50,0,0.0,13,25,96.75,18.00,116
nack-only,80,8,5.00,4.0,58,21,36.21,0,0.0,57,59,90.00,108.00,133
nack-only,80,30,1.00,4.0,16,10,62.50,0,0.0,13,25,96.75,18.00,116
nack-only,80,30,5.00,4.0,58,21,36.21,0,0.0,57,59,90.00,108.00,133
fec+nack,4,0,1.00,4.0,20,12,60.00,428,12.5,22,79,98.00,54.00,66
fec+nack,4,0,5.00,4.0,57,39,68.42,460,12.5,75,288,95.50,126.00,66
fec+nack,4,8,1.00,4.0,20,12,60.00,428,12.5,22,79,98.00,54.00,66
fec+nack,4,8,5.00,4.0,57,39,68.42,460,12.5,75,288,95.50,126.00,66
fec+nack,4,30,1.00,4.0,20,12,60.00,428,12.5,22,79,98.00,54.00,66
fec+nack,4,30,5.00,4.0,57,39,68.42,460,12.5,75,288,95.50,126.00,66
fec+nack,20,0,1.00,4.0,19,13,68.42,420,12.5,14,56,98.50,36.00,66
fec+nack,20,0,5.00,4.0,58,40,68.97,448,12.5,42,162,95.50,99.00,83
fec+nack,20,8,1.00,4.0,19,13,68.42,420,12.5,14,56,98.50,36.00,66
fec+nack,20,8,5.00,4.0,61,46,75.41,436,12.5,41,147,96.00,72.00,66
fec+nack,20,30,1.00,4.0,19,13,68.42,420,12.5,14,56,98.50,36.00,66
fec+nack,20,30,5.00,4.0,61,46,75.41,436,12.5,41,147,96.00,72.00,66
fec+nack,40,0,1.00,4.0,16,2,12.50,436,12.5,9,42,96.25,72.00,66
fec+nack,40,0,5.00,4.0,62,21,33.87,476,12.5,32,108,89.50,162.00,100
fec+nack,40,8,1.00,4.0,17,12,70.59,420,12.5,12,46,98.50,36.00,83
fec+nack,40,8,5.00,4.0,58,38,65.52,440,12.5,39,112,95.00,90.00,150
fec+nack,40,30,1.00,4.0,17,12,70.59,420,12.5,12,46,98.50,36.00,83
fec+nack,40,30,5.00,4.0,58,38,65.52,440,12.5,39,112,95.00,90.00,150
fec+nack,80,0,1.00,4.0,16,2,12.50,436,12.5,9,42,96.00,72.00,66
fec+nack,80,0,5.00,4.0,59,15,25.42,472,12.5,34,104,88.50,153.00,100
fec+nack,80,8,1.00,4.0,16,11,68.75,420,12.5,14,42,98.25,45.00,116
fec+nack,80,8,5.00,4.0,61,41,67.21,432,12.5,40,72,94.50,63.00,116
fec+nack,80,30,1.00,4.0,16,11,68.75,420,12.5,14,42,98.25,45.00,116
fec+nack,80,30,5.00,4.0,61,41,67.21,432,12.5,40,72,94.50,63.00,116
